#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftl�nge [m];L�ngenklasse;St�rkenklasse;Position Sortimentsbasis am Stamm [m];L�nge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Restst�ck Unten OR [m3];Volumen RestSt�ck Oben OR [m3];Wert [CHF];
20;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
21;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
22;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
23;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
24;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
25;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
26;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
27;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
28;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
29;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
30;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
31;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
32;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
33;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
34;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
35;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
36;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
37;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
38;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
39;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
40;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
41;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
42;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
43;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
44;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
45;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
46;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
47;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
48;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
49;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
50;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
51;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
52;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
53;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
54;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
55;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
56;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
57;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
58;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
59;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
60;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
61;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
62;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
63;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
64;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
65;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
66;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
67;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
68;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
69;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
70;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
71;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
72;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
73;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
74;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
75;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
76;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
77;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
78;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
79;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
80;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
81;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
82;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
83;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
84;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
85;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
86;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
87;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
88;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
89;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
90;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
91;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
92;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
93;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
94;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
95;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
96;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
97;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
98;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
99;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
100;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
101;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
102;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
103;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
104;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
105;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
106;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
107;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
108;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
109;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
110;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
111;26;Fichte;100;Fichte_1_26;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
112;26;Fichte;100;Fichte_1_26;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
113;26;Fichte;100;Fichte_1_26;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
114;26;Fichte;100;Fichte_1_26;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;26;Fichte;100;Fichte_1_26;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
115;27;Fichte;100;Fichte_2_27;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
116;27;Fichte;100;Fichte_2_27;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
117;27;Fichte;100;Fichte_2_27;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
118;27;Fichte;100;Fichte_2_27;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;27;Fichte;100;Fichte_2_27;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
119;28;Fichte;100;Fichte_3_28;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
120;28;Fichte;100;Fichte_3_28;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
121;28;Fichte;100;Fichte_3_28;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
122;28;Fichte;100;Fichte_3_28;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;28;Fichte;100;Fichte_3_28;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
123;29;Tanne;101;Tanne_1_29;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
124;29;Tanne;101;Tanne_1_29;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
125;29;Tanne;101;Tanne_1_29;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
126;29;Tanne;101;Tanne_1_29;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
127;29;Tanne;101;Tanne_1_29;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;29;Tanne;101;Tanne_1_29;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
128;30;Tanne;101;Tanne_2_30;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
129;30;Tanne;101;Tanne_2_30;2010;32.0;29.0;L1;2a;14.9;3.5;21.29;20.04;18.62;0.1;0.12;0.0;0.13;9.77;
130;30;Tanne;101;Tanne_2_30;2010;32.0;29.0;L1;1b;18.5;4.0;18.54;16.61;14.24;0.08;0.1;0.0;0.04;6.15;
131;30;Tanne;101;Tanne_2_30;2010;32.0;29.0;L1;1a;22.6;5.0;14.1;10.1;4.34;0.04;0.05;0.0;0.0;2.03;
132;30;Tanne;101;Tanne_2_30;2010;32.0;29.0;Restholz 1;Restholz 1;27.7;1.3;4.06;2.13;0.0;0.0;0.0;0.0;0.0;0.03;
#Summe:;30;Tanne;101;Tanne_2_30;2010;32.0;29.0;;;;;;;;0.98;1.11;;;93.99;
#
133;31;Fichte;100;Fichte_1_31;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
134;31;Fichte;100;Fichte_1_31;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
135;31;Fichte;100;Fichte_1_31;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
136;31;Fichte;100;Fichte_1_31;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;31;Fichte;100;Fichte_1_31;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
137;32;Fichte;100;Fichte_2_32;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
138;32;Fichte;100;Fichte_2_32;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
139;32;Fichte;100;Fichte_2_32;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
140;32;Fichte;100;Fichte_2_32;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;32;Fichte;100;Fichte_2_32;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
141;33;Fichte;100;Fichte_3_33;2010;32.0;29.0;L3;2b;0.3;16.0;32.37;25.04;19.58;0.81;0.89;0.0;0.16;90.21;
142;33;Fichte;100;Fichte_3_33;2010;32.0;29.0;L1;1b;16.4;4.5;19.48;17.15;14.43;0.1;0.12;0.0;0.05;7.45;
143;33;Fichte;100;Fichte_3_33;2010;32.0;29.0;L1;1a;21.0;5.5;14.3;10.37;5.55;0.05;0.06;0.0;0.0;2.37;
144;33;Fichte;100;Fichte_3_33;2010;32.0;29.0;Restholz 1;Restholz 1;26.6;2.4;5.35;2.84;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;33;Fichte;100;Fichte_3_33;2010;32.0;29.0;;;;;;;;0.96;1.06;;;100.12;
#
145;34;Tanne;101;Tanne_1_34;2010;32.0;29.0;L2;2b;0.3;14.5;31.57;25.4;21.35;0.75;0.85;0.0;0.25;76.01;
