#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftlänge [m];Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
31;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
32;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
33;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
34;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
35;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
36;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
37;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
38;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
39;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
40;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
41;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
42;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
43;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
44;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
45;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
46;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
47;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
48;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
49;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;2b;0.3;6.0;31.57;28.12;26.08;0.37;0.41;0.0;0.63;37.3;
50;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
51;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;2a;13.5;5.5;22.19;20.34;18.09;0.17;0.2;0.0;0.12;16.16;
52;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;1b;19.55;3.0;17.57;16.01;14.17;0.06;0.07;0.0;0.04;4.22;
53;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;1a;22.85;4.5;13.76;10.1;5.02;0.04;0.04;0.0;0.0;1.81;
54;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.2;3.78;1.98;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;;;;;;;;0.9;1.02;;;84.53;
#
55;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;2b;0.3;6.0;31.57;28.12;26.08;0.37;0.41;0.0;0.63;37.3;
56;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
57;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;2a;13.5;5.5;22.19;20.34;18.09;0.17;0.2;0.0;0.12;16.16;
58;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;1b;19.55;3.0;17.57;16.01;14.17;0.06;0.07;0.0;0.04;4.22;
59;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;1a;22.85;4.5;13.76;10.1;5.02;0.04;0.04;0.0;0.0;1.81;
60;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.2;3.78;1.98;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;;;;;;;;0.9;1.02;;;84.53;
#
61;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
62;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
63;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
64;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
65;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
66;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
67;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
68;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
69;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
70;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
71;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
72;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;12;Fichte;100;Fichte_2_12;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
73;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
74;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
75;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
76;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
77;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
78;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;13;Fichte;100;Fichte_3_13;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
79;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L1;2b;0.3;6.0;31.57;28.12;26.08;0.37;0.41;0.0;0.63;37.3;
80;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
81;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L1;2a;13.5;5.5;22.19;20.34;18.09;0.17;0.2;0.0;0.12;16.16;
82;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L1;1b;19.55;3.0;17.57;16.01;14.17;0.06;0.07;0.0;0.04;4.22;
83;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;L1;1a;22.85;4.5;13.76;10.1;5.02;0.04;0.04;0.0;0.0;1.81;
84;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.2;3.78;1.98;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;14;Tanne;101;Tanne_1_14;2010;32.0;29.0;;;;;;;;0.9;1.02;;;84.53;
#
85;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L1;2b;0.3;6.0;31.57;28.12;26.08;0.37;0.41;0.0;0.63;37.3;
86;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
87;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L1;2a;13.5;5.5;22.19;20.34;18.09;0.17;0.2;0.0;0.12;16.16;
88;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L1;1b;19.55;3.0;17.57;16.01;14.17;0.06;0.07;0.0;0.04;4.22;
89;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;L1;1a;22.85;4.5;13.76;10.1;5.02;0.04;0.04;0.0;0.0;1.81;
90;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.2;3.78;1.98;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;15;Tanne;101;Tanne_2_15;2010;32.0;29.0;;;;;;;;0.9;1.02;;;84.53;
#
91;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
92;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
93;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
94;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
95;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
96;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;16;Fichte;100;Fichte_1_16;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
97;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
98;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
99;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
100;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
101;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
102;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;17;Fichte;100;Fichte_2_17;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
103;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
104;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
105;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
106;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
107;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
108;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;18;Fichte;100;Fichte_3_18;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
109;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L1;2b;0.3;6.0;31.57;28.12;26.08;0.37;0.41;0.0;0.63;37.3;
110;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
111;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L1;2a;13.5;5.5;22.19;20.34;18.09;0.17;0.2;0.0;0.12;16.16;
112;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L1;1b;19.55;3.0;17.57;16.01;14.17;0.06;0.07;0.0;0.04;4.22;
113;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;L1;1a;22.85;4.5;13.76;10.1;5.02;0.04;0.04;0.0;0.0;1.81;
114;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.2;3.78;1.98;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;19;Tanne;101;Tanne_1_19;2010;32.0;29.0;;;;;;;;0.9;1.02;;;84.53;
#
115;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L1;2b;0.3;6.0;31.57;28.12;26.08;0.37;0.41;0.0;0.63;37.3;
116;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
117;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L1;2a;13.5;5.5;22.19;20.34;18.09;0.17;0.2;0.0;0.12;16.16;
118;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L1;1b;19.55;3.0;17.57;16.01;14.17;0.06;0.07;0.0;0.04;4.22;
119;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;L1;1a;22.85;4.5;13.76;10.1;5.02;0.04;0.04;0.0;0.0;1.81;
120;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.2;3.78;1.98;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;20;Tanne;101;Tanne_2_20;2010;32.0;29.0;;;;;;;;0.9;1.02;;;84.53;
#
121;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
122;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
123;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
124;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
125;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
126;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;21;Fichte;100;Fichte_1_21;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
127;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
128;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
129;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
130;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
131;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
132;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;22;Fichte;100;Fichte_2_22;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
133;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
134;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
135;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;L1;2a;13.5;4.0;21.94;20.31;18.39;0.12;0.14;0.0;0.12;12.76;
136;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;L1;1b;17.9;3.0;17.97;16.29;14.43;0.06;0.07;0.0;0.05;4.38;
137;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
138;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;Restholz 1;Restholz 1;27.25;1.75;4.03;2.1;0.0;0.0;0.0;0.0;0.0;0.04;
#Summe:;23;Fichte;100;Fichte_3_23;2010;32.0;29.0;;;;;;;;0.87;0.97;;;88.25;
#
139;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L1;2b;0.3;6.0;31.57;28.12;26.08;0.37;0.41;0.0;0.63;37.3;
140;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
141;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L1;2a;13.5;5.5;22.19;20.34;18.09;0.17;0.2;0.0;0.12;16.16;
142;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L1;1b;19.55;3.0;17.57;16.01;14.17;0.06;0.07;0.0;0.04;4.22;
143;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;L1;1a;22.85;4.5;13.76;10.1;5.02;0.04;0.04;0.0;0.0;1.81;
144;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.2;3.78;1.98;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;24;Tanne;101;Tanne_1_24;2010;32.0;29.0;;;;;;;;0.9;1.02;;;84.53;
#
145;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L1;2b;0.3;6.0;31.57;28.12;26.08;0.37;0.41;0.0;0.63;37.3;
146;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
147;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L1;2a;13.5;5.5;22.19;20.34;18.09;0.17;0.2;0.0;0.12;16.16;
148;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L1;1b;19.55;3.0;17.57;16.01;14.17;0.06;0.07;0.0;0.04;4.22;
149;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;L1;1a;22.85;4.5;13.76;10.1;5.02;0.04;0.04;0.0;0.0;1.81;
150;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;Restholz 1;Restholz 1;27.8;1.2;3.78;1.98;0.0;0.0;0.0;0.0;0.0;0.02;
#Summe:;25;Tanne;101;Tanne_2_25;2010;32.0;29.0;;;;;;;;0.9;1.02;;;84.53;
#
151;26;Fichte;100;Fichte_1_26;2010;32.0;29.0;L1;2b;0.3;6.0;32.37;28.24;26.08;0.38;0.41;0.0;0.58;41.27;
152;26;Fichte;100;Fichte_1_26;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
