# 23.05.2012/SH / 16.08.2007/VE;;;;;;;;
# File mit Baumliste für Sortimentssimulator;;;;;;;;
# ========================================================;;;;;;;;
#ID;Baumart;Baumart (Code entsprechend verwendeter Schaftformfunktion, z. B. Lemm1991); Beschrieb;Aufnahme-Datum;BHD;D7m; SchaftLaenge_m;
50;Tanne;101;  Tanne_2_50;2010;32;0;0;
51;Fichte;100; Fichte_1_51;2010;32;28;0;
52;Fichte;100; Fichte_2_52;2010;32;28;0;
53;Fichte;100; Fichte_3_53;2010;32;0;0;
54;Tanne;101;  Tanne_1_54;2010;32;0;0;
55;Tanne;101;  Tanne_2_55;2010;32;0;0;
56;Fichte;100; Fichte_1_56;2010;32;28;0;
57;Fichte;100; Fichte_2_57;2010;32;28;0;
58;Fichte;100; Fichte_3_58;2010;32;0;0;
59;Tanne;101;  Tanne_1_59;2010;32;0;0;
60;Tanne;101;  Tanne_2_60;2010;32;0;0;
61;Fichte;100; Fichte_1_61;2010;32;28;0;
62;Fichte;100; Fichte_2_62;2010;32;28;0;
63;Fichte;100; Fichte_3_63;2010;32;0;0;
64;Tanne;101;  Tanne_1_64;2010;32;0;0;
65;Tanne;101;  Tanne_2_65;2010;32;0;0;
66;Fichte;100; Fichte_1_66;2010;32;28;0;
67;Fichte;100; Fichte_2_67;2010;32;28;0;
68;Fichte;100; Fichte_3_68;2010;32;0;0;
69;Tanne;101;  Tanne_1_69;2010;32;0;0;
70;Tanne;101;  Tanne_2_70;2010;32;0;0;
71;Fichte;100; Fichte_1_71;2010;32;28;0;
72;Fichte;100; Fichte_2_72;2010;32;28;0;
73;Fichte;100; Fichte_3_73;2010;32;0;0;
74;Tanne;101;  Tanne_1_74;2010;32;0;0;
75;Tanne;101;  Tanne_2_75;2010;32;0;0;
76;Fichte;100; Fichte_1_76;2010;32;28;0;
77;Fichte;100; Fichte_2_77;2010;32;28;0;
78;Fichte;100; Fichte_3_78;2010;32;0;0;
79;Tanne;101;  Tanne_1_79;2010;32;0;0;
80;Tanne;101;  Tanne_2_80;2010;32;0;0;
81;Fichte;100; Fichte_1_81;2010;32;28;0;
82;Fichte;100; Fichte_2_82;2010;32;28;0;
83;Fichte;100; Fichte_3_83;2010;32;0;0;
84;Tanne;101;  Tanne_1_84;2010;32;0;0;
85;Tanne;101;  Tanne_2_85;2010;32;0;0;
86;Fichte;100; Fichte_1_86;2010;32;28;0;
87;Fichte;100; Fichte_2_87;2010;32;28;0;
88;Fichte;100; Fichte_3_88;2010;32;0;0;
89;Tanne;101;  Tanne_1_89;2010;32;0;0;
90;Tanne;101;  Tanne_2_90;2010;32;0;0;
91;Fichte;100; Fichte_1_91;2010;32;28;0;
92;Fichte;100; Fichte_2_92;2010;32;28;0;
93;Fichte;100; Fichte_3_93;2010;32;0;0;
94;Tanne;101;  Tanne_1_94;2010;32;0;0;
95;Tanne;101;  Tanne_2_95;2010;32;0;0;
96;Fichte;100; Fichte_1_96;2010;32;28;0;
97;Fichte;100; Fichte_2_97;2010;32;28;0;
98;Fichte;100; Fichte_3_98;2010;32;0;0;
99;Tanne;101;  Tanne_1_99;2010;32;0;0;
100;Tanne;101;  Tanne_2_100;2012;32;0;0;
101;Fichte;100; Fichte_1_101;2012;32;28;0;
102;Fichte;100; Fichte_2_102;2012;32;28;0;
103;Fichte;100; Fichte_3_103;2012;32;0;0;
104;Tanne;101;  Tanne_1_104;2012;32;0;0;
105;Tanne;101;  Tanne_2_105;2012;32;0;0;
106;Fichte;100; Fichte_1_106;2012;32;28;0;
107;Fichte;100; Fichte_2_107;2012;32;28;0;
108;Fichte;100; Fichte_3_108;2012;32;0;0;
109;Tanne;101;  Tanne_1_109;2012;32;0;0;
110;Tanne;101;  Tanne_2_110;2012;32;0;0;
111;Fichte;100; Fichte_1_111;2012;32;28;0;
112;Fichte;100; Fichte_2_112;2012;32;28;0;
113;Fichte;100; Fichte_3_113;2012;32;0;0;
114;Tanne;101;  Tanne_1_114;2012;32;0;0;
115;Tanne;101;  Tanne_2_115;2012;32;0;0;
116;Fichte;100; Fichte_1_116;2012;32;28;0;
117;Fichte;100; Fichte_2_117;2012;32;28;0;
118;Fichte;100; Fichte_3_118;2012;32;0;0;
119;Tanne;101;  Tanne_1_119;2012;32;0;0;
120;Tanne;101;  Tanne_2_120;2012;32;0;0;
121;Fichte;100; Fichte_1_121;2012;32;28;0;
122;Fichte;100; Fichte_2_122;2012;32;28;0;
123;Fichte;100; Fichte_3_123;2012;32;0;0;
124;Tanne;101;  Tanne_1_124;2012;32;0;0;
125;Tanne;101;  Tanne_2_125;2012;32;0;0;
126;Fichte;100; Fichte_1_126;2012;32;28;0;
127;Fichte;100; Fichte_2_127;2012;32;28;0;
128;Fichte;100; Fichte_3_128;2012;32;0;0;
129;Tanne;101;  Tanne_1_129;2012;32;0;0;
130;Tanne;101;  Tanne_2_130;2012;32;0;0;
131;Fichte;100; Fichte_1_131;2012;32;28;0;
132;Fichte;100; Fichte_2_132;2012;32;28;0;
133;Fichte;100; Fichte_3_133;2012;32;0;0;
134;Tanne;101;  Tanne_1_134;2012;32;0;0;
135;Tanne;101;  Tanne_2_135;2012;32;0;0;
136;Fichte;100; Fichte_1_136;2012;32;28;0;
137;Fichte;100; Fichte_2_137;2012;32;28;0;
138;Fichte;100; Fichte_3_138;2012;32;0;0;
139;Tanne;101;  Tanne_1_139;2012;32;0;0;
140;Tanne;101;  Tanne_2_140;2012;32;0;0;
141;Fichte;100; Fichte_1_141;2012;32;28;0;
142;Fichte;100; Fichte_2_142;2012;32;28;0;
143;Fichte;100; Fichte_3_143;2012;32;0;0;
144;Tanne;101;  Tanne_1_144;2012;32;0;0;
145;Tanne;101;  Tanne_2_145;2012;32;0;0;
146;Fichte;100; Fichte_1_146;2012;32;28;0;
147;Fichte;100; Fichte_2_147;2012;32;28;0;
148;Fichte;100; Fichte_3_148;2012;32;0;0;
149;Tanne;101;  Tanne_1_149;2012;32;0;0;
150;Tanne;101;  Tanne_2_150;2012;32;0;0;
151;Fichte;100; Fichte_1_151;2012;32;28;0;
152;Fichte;100; Fichte_2_152;2012;32;28;0;
153;Fichte;100; Fichte_3_153;2012;32;0;0;
154;Tanne;101;  Tanne_1_154;2012;32;0;0;
155;Tanne;101;  Tanne_2_155;2012;32;0;0;
156;Fichte;100; Fichte_1_156;2012;32;28;0;
157;Fichte;100; Fichte_2_157;2012;32;28;0;
158;Fichte;100; Fichte_3_158;2012;32;0;0;
159;Tanne;101;  Tanne_1_159;2012;32;0;0;
160;Tanne;101;  Tanne_2_160;2012;32;0;0;
161;Fichte;100; Fichte_1_161;2012;32;28;0;
162;Fichte;100; Fichte_2_162;2012;32;28;0;
163;Fichte;100; Fichte_3_163;2012;32;0;0;
164;Tanne;101;  Tanne_1_164;2012;32;0;0;
165;Tanne;101;  Tanne_2_165;2012;32;0;0;
166;Fichte;100; Fichte_1_166;2012;32;28;0;
167;Fichte;100; Fichte_2_167;2012;32;28;0;
168;Fichte;100; Fichte_3_168;2012;32;0;0;
169;Tanne;101;  Tanne_1_169;2012;32;0;0;
170;Tanne;101;  Tanne_2_170;2012;32;0;0;
171;Fichte;100; Fichte_1_171;2012;32;28;0;
172;Fichte;100; Fichte_2_172;2012;32;28;0;
173;Fichte;100; Fichte_3_173;2012;32;0;0;
174;Tanne;101;  Tanne_1_174;2012;32;0;0;
175;Tanne;101;  Tanne_2_175;2012;32;0;0;
176;Fichte;100; Fichte_1_176;2012;32;28;0;
177;Fichte;100; Fichte_2_177;2012;32;28;0;
178;Fichte;100; Fichte_3_178;2012;32;0;0;
179;Tanne;101;  Tanne_1_179;2012;32;0;0;
180;Tanne;101;  Tanne_2_180;2012;32;0;0;
181;Fichte;100; Fichte_1_181;2012;32;28;0;
182;Fichte;100; Fichte_2_182;2012;32;28;0;
183;Fichte;100; Fichte_3_183;2012;32;0;0;
184;Tanne;101;  Tanne_1_184;2012;32;0;0;
185;Tanne;101;  Tanne_2_185;2012;32;0;0;
186;Fichte;100; Fichte_1_186;2012;32;28;0;
187;Fichte;100; Fichte_2_187;2012;32;28;0;
188;Fichte;100; Fichte_3_188;2012;32;0;0;
189;Tanne;101;  Tanne_1_189;2012;32;0;0;
190;Tanne;101;  Tanne_2_190;2012;32;0;0;
191;Fichte;100; Fichte_1_191;2012;32;28;0;
192;Fichte;100; Fichte_2_192;2012;32;28;0;
193;Fichte;100; Fichte_3_193;2012;32;0;0;
194;Tanne;101;  Tanne_1_194;2012;32;0;0;
195;Tanne;101;  Tanne_2_195;2012;32;0;0;
196;Fichte;100; Fichte_1_196;2012;32;28;0;
197;Fichte;100; Fichte_2_197;2012;32;28;0;
198;Fichte;100; Fichte_3_198;2012;32;0;0;
199;Tanne;101;  Tanne_1_199;2012;32;0;0;
200;Tanne;101;  Tanne_2_200;2012;32;0;0;
201;Fichte;100; Fichte_1_201;2012;32;28;0;
202;Fichte;100; Fichte_2_202;2012;32;28;0;
203;Fichte;100; Fichte_3_203;2012;32;0;0;
204;Tanne;101;  Tanne_1_204;2012;32;0;0;
205;Tanne;101;  Tanne_2_205;2012;32;0;0;
206;Fichte;100; Fichte_1_206;2012;32;28;0;
207;Fichte;100; Fichte_2_207;2012;32;28;0;
208;Fichte;100; Fichte_3_208;2012;32;0;0;
209;Tanne;101;  Tanne_1_209;2012;32;0;0;
210;Tanne;101;  Tanne_2_210;2012;32;0;0;
211;Fichte;100; Fichte_1_211;2012;32;28;0;
212;Fichte;100; Fichte_2_212;2012;32;28;0;
213;Fichte;100; Fichte_3_213;2012;32;0;0;
214;Tanne;101;  Tanne_1_214;2012;32;0;0;
215;Tanne;101;  Tanne_2_215;2012;32;0;0; 
