# 15.11.2012/SH / 16.08.2007/VE
# File mit Baumliste für Sortimentssimulator
# ========================================================
#ID;Baumart;Baumart-Code;Beschrieb;Aufnahme-Datum;BHD;D7m;SchaftLaenge_m;
81;Fichte;100; Fichte_1_81;2010;32;28;29;
82;Fichte;100; Fichte_2_82;2010;32;28;29;
83;Fichte;100; Fichte_3_83;2010;32;0;29;
84;Tanne;101;  Tanne_1_84;2010;32;0;29;
85;Tanne;101;  Tanne_2_85;2010;32;0;29;
86;Fichte;100; Fichte_1_86;2010;32;28;29;
87;Fichte;100; Fichte_2_87;2010;32;28;29;
88;Fichte;100; Fichte_3_88;2010;32;0;29;
89;Tanne;101;  Tanne_1_89;2010;32;0;29;
90;Tanne;101;  Tanne_2_90;2010;32;0;29;
91;Fichte;100; Fichte_1_91;2010;32;28;29;
92;Fichte;100; Fichte_2_92;2010;32;28;29;
93;Fichte;100; Fichte_3_93;2010;32;0;29;
94;Tanne;101;  Tanne_1_94;2010;32;0;29;
95;Tanne;101;  Tanne_2_95;2010;32;0;29;
96;Fichte;100; Fichte_1_96;2010;32;28;29;
97;Fichte;100; Fichte_2_97;2010;32;28;29;
98;Fichte;100; Fichte_3_98;2010;32;0;29;
99;Tanne;101;  Tanne_1_99;2010;32;0;29;
100;Tanne;101;  Tanne_2_100;2012;32;0;29;
101;Fichte;100; Fichte_1_101;2012;32;28;29;
102;Fichte;100; Fichte_2_102;2012;32;28;29;
103;Fichte;100; Fichte_3_103;2012;32;0;29;
104;Tanne;101;  Tanne_1_104;2012;32;0;29;
105;Tanne;101;  Tanne_2_105;2012;32;0;29;
106;Fichte;100; Fichte_1_106;2012;32;28;29;
107;Fichte;100; Fichte_2_107;2012;32;28;29;
108;Fichte;100; Fichte_3_108;2012;32;0;29;
109;Tanne;101;  Tanne_1_109;2012;32;0;29;
110;Tanne;101;  Tanne_2_110;2012;32;0;29;
111;Fichte;100; Fichte_1_111;2012;32;28;29;
112;Fichte;100; Fichte_2_112;2012;32;28;29;
113;Fichte;100; Fichte_3_113;2012;32;0;29;
114;Tanne;101;  Tanne_1_114;2012;32;0;29;
115;Tanne;101;  Tanne_2_115;2012;32;0;29;
116;Fichte;100; Fichte_1_116;2012;32;28;29;
117;Fichte;100; Fichte_2_117;2012;32;28;29;
118;Fichte;100; Fichte_3_118;2012;32;0;29;
119;Tanne;101;  Tanne_1_119;2012;32;0;29;
120;Tanne;101;  Tanne_2_120;2012;32;0;29;
121;Fichte;100; Fichte_1_121;2012;32;28;29;
122;Fichte;100; Fichte_2_122;2012;32;28;29;
123;Fichte;100; Fichte_3_123;2012;32;0;29;
124;Tanne;101;  Tanne_1_124;2012;32;0;29;
125;Tanne;101;  Tanne_2_125;2012;32;0;29;
126;Fichte;100; Fichte_1_126;2012;32;28;29;
127;Fichte;100; Fichte_2_127;2012;32;28;29;
128;Fichte;100; Fichte_3_128;2012;32;0;29;
129;Tanne;101;  Tanne_1_129;2012;32;0;29;
130;Tanne;101;  Tanne_2_130;2012;32;0;29;
131;Fichte;100; Fichte_1_131;2012;32;28;29;
132;Fichte;100; Fichte_2_132;2012;32;28;29;
133;Fichte;100; Fichte_3_133;2012;32;0;29;
134;Tanne;101;  Tanne_1_134;2012;32;0;29;
135;Tanne;101;  Tanne_2_135;2012;32;0;29;
136;Fichte;100; Fichte_1_136;2012;32;28;29;
137;Fichte;100; Fichte_2_137;2012;32;28;29;
138;Fichte;100; Fichte_3_138;2012;32;0;29;
139;Tanne;101;  Tanne_1_139;2012;32;0;29;
140;Tanne;101;  Tanne_2_140;2012;32;0;29;
141;Fichte;100; Fichte_1_141;2012;32;28;29;
142;Fichte;100; Fichte_2_142;2012;32;28;29;
143;Fichte;100; Fichte_3_143;2012;32;0;29;
144;Tanne;101;  Tanne_1_144;2012;32;0;29;
145;Tanne;101;  Tanne_2_145;2012;32;0;29;
146;Fichte;100; Fichte_1_146;2012;32;28;29;
147;Fichte;100; Fichte_2_147;2012;32;28;29;
148;Fichte;100; Fichte_3_148;2012;32;0;29;
149;Tanne;101;  Tanne_1_149;2012;32;0;29;
150;Tanne;101;  Tanne_2_150;2012;32;0;29;
151;Fichte;100; Fichte_1_151;2012;32;28;29;
152;Fichte;100; Fichte_2_152;2012;32;28;29;
153;Fichte;100; Fichte_3_153;2012;32;0;29;
154;Tanne;101;  Tanne_1_154;2012;32;0;29;
155;Tanne;101;  Tanne_2_155;2012;32;0;29;
156;Fichte;100; Fichte_1_156;2012;32;28;29;
157;Fichte;100; Fichte_2_157;2012;32;28;29;
158;Fichte;100; Fichte_3_158;2012;32;0;29;
159;Tanne;101;  Tanne_1_159;2012;32;0;29;
160;Tanne;101;  Tanne_2_160;2012;32;0;29;
161;Fichte;100; Fichte_1_161;2012;32;28;29;
162;Fichte;100; Fichte_2_162;2012;32;28;29;
163;Fichte;100; Fichte_3_163;2012;32;0;29;
164;Tanne;101;  Tanne_1_164;2012;32;0;29;
165;Tanne;101;  Tanne_2_165;2012;32;0;29;
166;Fichte;100; Fichte_1_166;2012;32;28;29;
167;Fichte;100; Fichte_2_167;2012;32;28;29;
168;Fichte;100; Fichte_3_168;2012;32;0;29;
169;Tanne;101;  Tanne_1_169;2012;32;0;29;
170;Tanne;101;  Tanne_2_170;2012;32;0;29;
171;Fichte;100; Fichte_1_171;2012;32;28;29;
172;Fichte;100; Fichte_2_172;2012;32;28;29;
173;Fichte;100; Fichte_3_173;2012;32;0;29;
174;Tanne;101;  Tanne_1_174;2012;32;0;29;
175;Tanne;101;  Tanne_2_175;2012;32;0;29;
176;Fichte;100; Fichte_1_176;2012;32;28;29;
177;Fichte;100; Fichte_2_177;2012;32;28;29;
178;Fichte;100; Fichte_3_178;2012;32;0;29;
179;Tanne;101;  Tanne_1_179;2012;32;0;29;
180;Tanne;101;  Tanne_2_180;2012;32;0;29;
181;Fichte;100; Fichte_1_181;2012;32;28;29;
182;Fichte;100; Fichte_2_182;2012;32;28;29;
183;Fichte;100; Fichte_3_183;2012;32;0;29;
184;Tanne;101;  Tanne_1_184;2012;32;0;29;
185;Tanne;101;  Tanne_2_185;2012;32;0;29;
186;Fichte;100; Fichte_1_186;2012;32;28;29;
187;Fichte;100; Fichte_2_187;2012;32;28;29;
188;Fichte;100; Fichte_3_188;2012;32;0;29;
189;Tanne;101;  Tanne_1_189;2012;32;0;29;
190;Tanne;101;  Tanne_2_190;2012;32;0;29;
191;Fichte;100; Fichte_1_191;2012;32;28;29;
192;Fichte;100; Fichte_2_192;2012;32;28;29;
193;Fichte;100; Fichte_3_193;2012;32;0;29;
194;Tanne;101;  Tanne_1_194;2012;32;0;29;
195;Tanne;101;  Tanne_2_195;2012;32;0;29;
196;Fichte;100; Fichte_1_196;2012;32;28;29;
197;Fichte;100; Fichte_2_197;2012;32;28;29;
198;Fichte;100; Fichte_3_198;2012;32;0;29;
199;Tanne;101;  Tanne_1_199;2012;32;0;29;
200;Tanne;101;  Tanne_2_200;2012;32;0;29;
201;Fichte;100; Fichte_1_201;2012;32;28;29;
202;Fichte;100; Fichte_2_202;2012;32;28;29;
203;Fichte;100; Fichte_3_203;2012;32;0;29;
204;Tanne;101;  Tanne_1_204;2012;32;0;29;
205;Tanne;101;  Tanne_2_205;2012;32;0;29;
206;Fichte;100; Fichte_1_206;2012;32;28;29;
207;Fichte;100; Fichte_2_207;2012;32;28;29;
208;Fichte;100; Fichte_3_208;2012;32;0;29;
209;Tanne;101;  Tanne_1_209;2012;32;0;29;
210;Tanne;101;  Tanne_2_210;2012;32;0;29;
211;Fichte;100; Fichte_1_211;2012;32;28;29;
212;Fichte;100; Fichte_2_212;2012;32;28;29;
213;Fichte;100; Fichte_3_213;2012;32;0;29;
214;Tanne;101;  Tanne_1_214;2012;32;0;29;
215;Tanne;101;  Tanne_2_215;2012;32;0;29; 
